,Mes,Crr-Spearman,Crr-Kendall,Crr-Spearman_1,Crr-Kendall_1
0,1,0.12116271848233516,0.10472127092146298,0.13767831334087932,0.10613016700706449
1,2,0.126547471399238,0.10770052282773172,-0.0029013751415504444,-0.0035362188085404874
2,3,0.12321090848533403,0.1044302655547494,-0.08821155598346829,-0.06680382722658953
3,4,0.09822435320939475,0.08609483814683193,0.06562644548392363,0.053503608548350755
4,5,0.0402629223969714,0.03690455328177893,0.37416914284732855,0.308353639857088
5,6,0.07402215386351878,0.07075954355647836,0.3608701334808899,0.3232735006963626
6,7,0.11644633350694118,0.11383414151826109,,
7,8,0.057227156506016355,0.054058860579501836,0.38187775627352977,0.3418817293789138
8,9,0.050917140062496334,0.04632636023804371,0.14109148928883214,0.11905296684332288
9,10,0.11551347335657657,0.10276973801640867,0.16493509224614433,0.13199754037752198
10,11,0.14736203219402852,0.1305151464644407,0.17202771225681676,0.13355883313290465
11,12,0.12801491675621263,0.11072015870309634,0.017539082293672584,0.014429257566261629
