,Mes,K-Spearman,K-Kendall,K-Spearman_1,K-Kendall_1
0,1,0.09999199215371692,0.08155247901895553,0.15157286965340475,0.11789109030395956
1,2,0.09133914096273298,0.0742793535281039,0.07824153213987527,0.054177103511881285
2,3,0.15391051923592533,0.12518791487097766,0.13436928418941496,0.10255695253748862
3,4,0.1243466537609381,0.10140992419056354,0.3107902663246861,0.24010455303502246
4,5,0.05199395936077873,0.04244964585097556,0.421435891854396,0.343400055865223
5,6,0.057814840233243084,0.047212348114041264,0.600033280175589,0.4702840293119593
6,7,0.07484230911634063,0.06113999444321902,,
7,8,0.08036590336995682,0.06561262512072547,0.05941345623292903,0.04684396830725552
8,9,0.07864075460775152,0.06418263770974883,0.27030640272268885,0.2212622463480033
9,10,0.1148690015837487,0.09368178103593197,0.051890541975325735,0.041314212556981186
10,11,0.15078454612332365,0.12288601122557583,0.24258574907495262,0.19012123707045164
11,12,0.09000489940577777,0.07322288217577302,-0.15743969980928454,-0.12340468155430442
